Cell_Line	Donor_Sex	Donor_Age	Avg_Donor_Age	Origin_Cell	Reprogramming_Method	Mean_X_Chrom_ASE	Pool (rep1)	Passage_Number (rep1)	Pool (rep2)	Passage_Number (rep2)	Pool (rep3)	Passage_Number (rep3)
HPSI0613i-xosg_2	male	NA	NA	fibroblast	sendai	NA	12	NA	-	-	-	-
HPSI0614i-juzt_4	female	55-59	57	fibroblast	sendai	NA	7	25	-	-	-	-
HPSI0614i-liqa_1	female	65-69	67	fibroblast	sendai	0.298986748	1	16	-	-	-	-
HPSI0614i-lirf_5	male	45-49	47	fibroblast	sendai	NA	5	24	-	-	-	-
HPSI0614i-miaj_4	male	50-54	52	fibroblast	sendai	NA	8	36	-	-	-	-
HPSI0614i-oicx_2	female	65-69	67	fibroblast	sendai	0.136156748	5	19	-	-	-	-
HPSI0614i-paab_3	male	70-74	72	fibroblast	sendai	NA	5	25	18	26	-	-
HPSI0614i-puhk_2	female	50-54	52	fibroblast	sendai	0.222567815	9	37	-	-	-	-
HPSI0614i-qunz_2	female	50-54	52	fibroblast	sendai	0.145041259	8	16	-	-	-	-
HPSI0614i-uevq_6	female	60-64	62	fibroblast	sendai	0.092410236	2	20	-	-	-	-
HPSI0614i-voce_1	male	60-64	62	fibroblast	sendai	NA	6	24	-	-	-	-
HPSI0614i-wihj_4	female	70-74	72	fibroblast	sendai	0.166506671	7	24	-	-	-	-
HPSI0614i-xubw_1	female	60-64	62	fibroblast	sendai	NA	12	NA	-	-	-	-
HPSI0713i-aehn_22	female	NA	NA	fibroblast	sendai	0.158967104	13	37	-	-	-	-
HPSI0713i-dard_1	female	NA	NA	fibroblast	sendai	0.194536845	12	41	-	-	-	-
HPSI0713i-fett_3	male	40-44	42	fibroblast	sendai	NA	12	36	-	-	-	-
HPSI0713i-nemb_1	male	NA	NA	fibroblast	sendai	NA	12	45	-	-	-	-
HPSI0713i-nocf_2	male	55-59	57	fibroblast	sendai	NA	12	32	-	-	-	-
HPSI0713i-pusf_3	female	65-69	67	fibroblast	sendai	0.246188018	12	33	-	-	-	-
HPSI0713i-terl_1	male	60-64	62	fibroblast	sendai	NA	12	20	-	-	-	-
HPSI0713i-uimo_1	female	NA	NA	fibroblast	sendai	0.280368656	12	44	-	-	-	-
HPSI0713i-veku_2	male	NA	NA	fibroblast	sendai	NA	12	38	20	39	-	-
HPSI0713i-wiol_1	female	NA	NA	fibroblast	sendai	0.274769607	12	35	-	-	-	-
HPSI0714i-burb_1	male	45-49	47	fibroblast	sendai	NA	4	17	5	18	-	-
HPSI0714i-iudw_1	female	50-54	52	fibroblast	sendai	0.115249787	1	23	-	-	-	-
HPSI0714i-jilk_4	female	45-49	47	fibroblast	sendai	0.077467778	5	22	18	20	-	-
